,index,name,Initialized,Started,Finished,FoundationFinished,TurbineStart,Date Initialized,Date Started,Date TurbineStart,Date FoundationFinished,Date Finished,substructure,depth,location,associated_port,capacity,us_wtiv,estimated_cod
0,0,Hypothetical Gulf of Maine Draft WEA 4,157800,245146.94001066213,261339.70643866737,261339.70643866737,245146.94001066213,2041-01-01 00:00:00,2050-12-19 11:00:00,2050-12-19 11:00:00,2052-10-24 04:00:00,2052-10-24 04:00:00,semisub,800,NH,searsport_2,1424,False,2042-01-01 00:00:00
1,1,Hypothetical Gulf of Maine Draft WEA 3,157800,235912.08904358986,252256.5523169886,252256.5523169886,235912.08904358986,2041-01-01 00:00:00,2049-11-29 17:00:00,2049-11-29 17:00:00,2051-10-11 17:00:00,2051-10-11 17:00:00,semisub,800,ME,salem,1424,False,2042-01-01 00:00:00
2,2,Hypothetical Gulf of Maine Draft WEA 2,157800,228170.1735826569,245146.94001066213,245146.94001066213,228170.1735826569,2041-01-01 00:00:00,2049-01-11 03:00:00,2049-01-11 03:00:00,2050-12-19 11:00:00,2050-12-19 11:00:00,semisub,800,ME,searsport_1,1424,False,2042-01-01 00:00:00
3,3,Hypothetical NY Bight Floating 1,149016,215060.26316877117,235912.08904358986,235912.08904358986,215060.26316877117,2040-01-01 00:00:00,2047-07-14 21:00:00,2047-07-14 21:00:00,2049-11-29 17:00:00,2049-11-29 17:00:00,semisub,800,NY,sbmt,1800,False,2041-01-01 00:00:00
4,4,Hypothetical Central Atlantic Draft WEA 6,149016,211092.40231326403,228170.1735826569,228170.1735826569,211092.40231326403,2040-01-01 00:00:00,2047-01-30 13:00:00,2047-01-30 13:00:00,2049-01-11 03:00:00,2049-01-11 03:00:00,semisub,800,MD,tradepoint_2,1428,False,2041-01-01 00:00:00
5,5,Hypothetical NE Floating 3,149016,197292.03710744184,215060.26316877117,215060.26316877117,197292.03710744184,2040-01-01 00:00:00,2045-07-04 13:00:00,2045-07-04 13:00:00,2047-07-14 21:00:00,2047-07-14 21:00:00,semisub,800,RI,new_london,1500,False,2041-01-01 00:00:00
6,6,Hypothetical NE Floating 1,140256,190250.3356523529,211092.40231326403,211092.40231326403,190250.3356523529,2039-01-01 00:00:00,2044-09-14 03:00:00,2044-09-14 03:00:00,2047-01-30 13:00:00,2047-01-30 13:00:00,semisub,800,CT,salem,1800,False,2040-01-01 00:00:00
7,7,Hypothetical Gulf of Maine Draft WEA 1,140256,180547.7706794366,197292.03710744184,197292.03710744184,180547.7706794366,2039-01-01 00:00:00,2043-08-06 20:00:00,2043-08-06 20:00:00,2045-07-04 13:00:00,2045-07-04 13:00:00,semisub,800,ME,searsport_2,1424,False,2040-01-01 00:00:00
8,8,Hypothetical Central Atlantic Draft WEA 3,140256,173405.67405870135,190250.3356523529,190250.3356523529,173405.67405870135,2039-01-01 00:00:00,2042-10-13 06:00:00,2042-10-13 06:00:00,2044-09-14 03:00:00,2044-09-14 03:00:00,semisub,800,NC,portsmouth_2,1428,False,2040-01-01 00:00:00
9,9,Hypothetical NE Fixed 1,131496,163573.6825124326,180547.7706794366,180547.7706794366,163573.6825124326,2038-01-01 00:00:00,2041-08-29 14:00:00,2041-08-29 14:00:00,2043-08-06 20:00:00,2043-08-06 20:00:00,gbf,40,MA,new_bedford,1500,False,2039-01-01 00:00:00
